danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target,genre
0.286,0.00451,3,-35.607,1,0.0386,0.992,0.969,0.125,0.0541,135.483,audio_features,3rzwGepRS2pjTwvhBvMmiz,spotify:track:3rzwGepRS2pjTwvhBvMmiz,https://api.spotify.com/v1/tracks/3rzwGepRS2pjTwvhBvMmiz,https://api.spotify.com/v1/audio-analysis/3rzwGepRS2pjTwvhBvMmiz,122987,4,1,Classical
0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,audio_features,6vBdBCoOhKHiYDDOcorfNo,spotify:track:6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/tracks/6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/audio-analysis/6vBdBCoOhKHiYDDOcorfNo,174960,4,1,Hip-Hop
0.383,0.213,9,-24.169,1,0.0543,0.991,0.91,0.152,0.351,69.842,audio_features,780jjHwChQfMDSMDtnnRDR,spotify:track:780jjHwChQfMDSMDtnnRDR,https://api.spotify.com/v1/tracks/780jjHwChQfMDSMDtnnRDR,https://api.spotify.com/v1/audio-analysis/780jjHwChQfMDSMDtnnRDR,84360,4,1,Classical
0.307,0.184,10,-20.575,1,0.0328,0.994,0.852,0.166,0.544,98.325,audio_features,03o0ZeDrgNNZE4Qd0qkjLy,spotify:track:03o0ZeDrgNNZE4Qd0qkjLy,https://api.spotify.com/v1/tracks/03o0ZeDrgNNZE4Qd0qkjLy,https://api.spotify.com/v1/audio-analysis/03o0ZeDrgNNZE4Qd0qkjLy,124827,4,1,Classical
0.0636,0.0344,1,-29.329,1,0.0503,0.918,0.484,0.0941,0.0353,65.937,audio_features,2fMn5KBVhGlBQZTGrSBeZ7,spotify:track:2fMn5KBVhGlBQZTGrSBeZ7,https://api.spotify.com/v1/tracks/2fMn5KBVhGlBQZTGrSBeZ7,https://api.spotify.com/v1/audio-analysis/2fMn5KBVhGlBQZTGrSBeZ7,393840,5,1,Classical
0.884,0.541,11,-5.608,1,0.221,0.0831,0.0,0.118,0.274,105.009,audio_features,55GiOwtxNajXVbpjjIzMnD,spotify:track:55GiOwtxNajXVbpjjIzMnD,https://api.spotify.com/v1/tracks/55GiOwtxNajXVbpjjIzMnD,https://api.spotify.com/v1/audio-analysis/55GiOwtxNajXVbpjjIzMnD,194936,4,1,Hip-Hop
0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,audio_features,03tqyYWC9Um2ZqU0ZN849H,spotify:track:03tqyYWC9Um2ZqU0ZN849H,https://api.spotify.com/v1/tracks/03tqyYWC9Um2ZqU0ZN849H,https://api.spotify.com/v1/audio-analysis/03tqyYWC9Um2ZqU0ZN849H,263773,4,1,Hip-Hop
0.129,0.00247,5,-35.225,1,0.0454,0.985,0.885,0.0749,0.205,74.232,audio_features,3SYEnj7zmJYTfO71JZLsqa,spotify:track:3SYEnj7zmJYTfO71JZLsqa,https://api.spotify.com/v1/tracks/3SYEnj7zmJYTfO71JZLsqa,https://api.spotify.com/v1/audio-analysis/3SYEnj7zmJYTfO71JZLsqa,271893,4,1,Classical
0.784,0.459,4,-9.74,0,0.317,0.0847,0.0,0.079,0.618,164.062,audio_features,7kAFSrTIOiVZ0gnHBuAH3l,spotify:track:7kAFSrTIOiVZ0gnHBuAH3l,https://api.spotify.com/v1/tracks/7kAFSrTIOiVZ0gnHBuAH3l,https://api.spotify.com/v1/audio-analysis/7kAFSrTIOiVZ0gnHBuAH3l,304000,4,1,Hip-Hop
0.502,0.652,9,-7.224,1,0.3,0.0849,0.0,0.0675,0.649,136.04,audio_features,3hQCHzkE5oSA3F1xM8bpcM,spotify:track:3hQCHzkE5oSA3F1xM8bpcM,https://api.spotify.com/v1/tracks/3hQCHzkE5oSA3F1xM8bpcM,https://api.spotify.com/v1/audio-analysis/3hQCHzkE5oSA3F1xM8bpcM,254093,4,1,Hip-Hop
